Mã cổ phiếu,Chỉ số tài chính theo quý,Chỉ số giá thị trường trên thu nhập (P/E),Chỉ số giá thị trường trên giá trị sổ sách (P/B)
FPT,Q4/2023,17.55,4.08
FPT,Q3/2023,17.31,4.15
FPT,Q2/2023,16.26,3.32
FPT,Q1/2023,15.04,3.21
FPT,Q4/2022,14.68,3.33
FPT,Q3/2022,14.76,3.67
FPT,Q2/2022,16.01,4.04
FPT,Q1/2022,20.3,4.23
FPT,Q4/2021,18.38,3.94
FPT,Q3/2021,19.09,4.15
FPT,Q2/2021,18.26,3.98
FPT,Q1/2021,16.19,3.09
FPT,Q4/2020,12.46,2.49
FPT,Q3/2020,10.84,2.16
FPT,Q2/2020,9.43,2
FPT,Q1/2020,8.44,1.58
FPT,Q4/2019,12.15,2.34
FPT,Q3/2019,11.61,2.41
FPT,Q2/2019,9.63,1.95
FPT,Q1/2019,9.98,1.8
FPT,Q4/2018,9.36,1.75
FPT,Q3/2018,7.96,2.01
FPT,Q2/2018,7.17,1.83
FPT,Q1/2018,10.31,2.32
FPT,Q4/2017,9.69,2.29
FPT,Q3/2017,10.75,1.99
FPT,Q2/2017,10.47,1.78
FPT,Q1/2017,12.67,1.81
FPT,Q4/2016,11.88,1.77
FPT,Q3/2016,12.11,1.96
FPT,Q2/2016,10.96,1.76
FPT,Q1/2016,9.73,1.76
FPT,Q4/2015,9.26,1.89
FPT,Q3/2015,9.22,1.77
FPT,Q2/2015,9.28,1.86
FPT,Q1/2015,9.41,1.99
FPT,Q4/2014,9.16,2.09
FPT,Q3/2014,9.21,2.35
FPT,Q2/2014,8.03,2.11
FPT,Q1/2014,11.84,2.54
FPT,Q4/2013,8.04,1.8
FPT,Q3/2013,7.81,1.8
FPT,Q2/2013,7.14,1.65
FPT,Q1/2013,6.24,1.59
