Mã cổ phiếu,Chỉ số tài chính theo quý,Chỉ số giá thị trường trên thu nhập (P/E),Chỉ số giá thị trường trên giá trị sổ sách (P/B)
HPG,Q4/2023,23.78,1.58
HPG,Q3/2023,81.75,1.53
HPG,Q2/2023,-79.69,1.55
HPG,Q1/2023,172.22,1.25
HPG,Q4/2022,11,1.09
HPG,Q3/2022,5.72,1.26
HPG,Q2/2022,3.33,1.3
HPG,Q1/2022,5.38,2.04
HPG,Q4/2021,5.38,2.29
HPG,Q3/2021,6.16,2.81
HPG,Q2/2021,6.83,3.11
HPG,Q1/2021,8.04,2.34
HPG,Q4/2020,9.21,2.32
HPG,Q3/2020,7,1.59
HPG,Q2/2020,8.51,1.41
HPG,Q1/2020,5.56,0.93
HPG,Q4/2019,7.79,1.36
HPG,Q3/2019,6.93,1.32
HPG,Q2/2019,6.33,1.47
HPG,Q1/2019,7.82,1.62
HPG,Q4/2018,6.65,1.62
HPG,Q3/2018,7.74,2.3
HPG,Q2/2018,6.4,2.23
HPG,Q1/2018,10.1,2.66
HPG,Q4/2017,7.18,2.19
HPG,Q3/2017,5.42,1.96
HPG,Q2/2017,4.06,1.76
HPG,Q1/2017,3.22,1.2
HPG,Q4/2016,5,1.83
HPG,Q3/2016,6.45,2.13
HPG,Q2/2016,6.25,1.66
HPG,Q1/2016,5.22,1.4
HPG,Q4/2015,5.24,1.48
HPG,Q3/2015,5,1.58
HPG,Q2/2015,4.42,1.62
HPG,Q1/2015,7.13,0
HPG,Q4/2014,7.72,2.17
HPG,Q3/2014,8.03,2.41
HPG,Q2/2014,8.2,2.43
HPG,Q1/2014,9.38,2.15
HPG,Q4/2013,8.81,0
HPG,Q3/2013,8.62,0
HPG,Q2/2013,7.56,1.31
HPG,Q1/2013,7.59,1.28
