Mã cổ phiếu,Ngày giao dịch,Giá đóng cửa,Giá điều chỉnh,Thay đổi,GDKL_KL,GDKL_GT,GDTT_KL,GDTT_GT,Giá mở cửa,Giá cao nhất,Giá thấp nhất
FPT,07/03/2024,111.3,--,2.2(2.02 %),"4,037,600",445.72,"1,212,150",137.11,109.1,113.9,108.2
FPT,06/03/2024,109,--,-1.7(-1.54 %),"2,491,100",273.05,"185,700",21.46,110,110.4,108.7
FPT,05/03/2024,110.7,--,-0.7(-0.63 %),"3,383,000",373.77,"1,328,118",157.6,111.4,111.4,109.9
FPT,04/03/2024,111.4,--,0.6(0.54 %),"3,087,100",343.32,"74,500",8.83,111,111.8,110.8
FPT,01/03/2024,110.8,--,1.8(1.65 %),"4,019,400",445.12,"942,000",106.08,109.2,111.4,109.1
FPT,29/02/2024,109,--,0.5(0.46 %),"2,824,800",306.12,"149,301",17.32,108.2,109.4,107.7
FPT,28/02/2024,108.5,--,0.6(0.56 %),"3,461,700",370.69,"1,592,200",176.92,108,108.5,106.3
FPT,27/02/2024,107.9,--,-0.1(-0.09 %),"2,800,800",303.86,"1,596,400",184.38,108.5,109.5,107.4
FPT,26/02/2024,108,--,4.1(3.95 %),"4,466,700",473.98,"507,000",52.41,103.9,108,103.5
FPT,23/02/2024,103.9,--,-0.7(-0.67 %),"4,103,500",431.11,"1,054,540",118,105.5,106.7,103.3
FPT,22/02/2024,104.6,--,-1.3(-1.23 %),"1,718,700",180.29,"492,564",55.81,105.9,106,104.6
FPT,21/02/2024,105.9,--,1.6(1.53 %),"3,137,500",328.04,"768,300",85.27,104,106.9,103.5
FPT,20/02/2024,104.3,--,-0.7(-0.67 %),"1,844,300",192.68,"2,040,000",229.09,105.2,105.2,104
FPT,19/02/2024,105,--,-0.1(-0.10 %),"2,031,800",215.1,"936,300",101.44,105.5,107,105
FPT,16/02/2024,105.1,--,1.1(1.06 %),"2,066,000",215.44,"292,100",32.32,104,105.1,103.8
FPT,15/02/2024,104,--,-0.9(-0.86 %),"2,248,400",234.7,"1,247,220",139.94,105.2,105.5,103.8
FPT,07/02/2024,104.9,--,0.8(0.77 %),"2,125,400",222.22,"300,500",33.45,104.7,105,103.9
FPT,06/02/2024,104.1,--,0.6(0.58 %),"1,884,300",195.59,"1,729,600",188.13,103.6,105,102.9
FPT,05/02/2024,103.5,--,1.5(1.47 %),"2,694,400",278.08,"295,300",32.22,102,104.1,101.9
FPT,02/02/2024,102,--,2.1(2.10 %),"2,876,100",291.83,"972,400",103.85,100.2,102.2,100.1
FPT,01/02/2024,99.9,--,4.2(4.39 %),"7,793,700",769.27,"429,400",43.58,95.9,99.9,95.7
FPT,31/01/2024,95.7,--,0.1(0.10 %),"1,381,500",132.21,"952,896",94.73,95.6,96,95.5
FPT,30/01/2024,95.6,--,-0.3(-0.31 %),"949,000",90.72,"327,438",33.6,95.9,95.9,95.4
FPT,29/01/2024,95.9,--,0(0.00 %),"1,060,700",101.45,"1,815,800",185.56,95.9,96.1,95.3
FPT,26/01/2024,95.9,--,0.8(0.84 %),"925,400",88.6,"545,030",55.24,95.5,96.2,95.3
FPT,25/01/2024,95.1,--,0.1(0.11 %),"845,100",80.37,"656,900",64.25,95.1,95.7,94.8
FPT,24/01/2024,95,--,-0.6(-0.63 %),"1,722,100",164,"942,700",96.34,95.8,95.8,94.9
FPT,23/01/2024,95.6,--,-0.8(-0.83 %),"1,480,400",141.72,"2,681,310",276.44,96.1,96.4,95.4
FPT,22/01/2024,96.4,--,0.1(0.10 %),"1,108,000",106.62,"113,800",11.72,96.8,96.8,95.8
FPT,19/01/2024,96.3,--,0.7(0.73 %),"1,493,200",143.66,"646,200",63.74,96,96.9,95.7
FPT,18/01/2024,95.6,--,-0.1(-0.10 %),"1,136,900",108.76,"491,400",50.27,95.7,96,95.2
FPT,17/01/2024,95.7,--,0(0.00 %),"1,414,000",135.03,"654,500",66.96,95.6,96,95
