Mã cổ phiếu,Ngày giao dịch,Giá đóng cửa,Giá điều chỉnh,Thay đổi,GDKL_KL,GDKL_GT,GDTT_KL,GDTT_GT,Giá mở cửa,Giá cao nhất,Giá thấp nhất
HPG,07/03/2024,31,--,0.2(0.65 %),"32,262,200",998.17,"1,133,839",33.22,30.7,31.35,30.6
HPG,06/03/2024,30.6,--,-0.55(-1.77 %),"20,347,800",627.08,"3,204,000",96.12,31.1,31.15,30.55
HPG,05/03/2024,31.15,--,0.35(1.14 %),"29,917,200",927.56,"306,801",9.33,30.8,31.3,30.7
HPG,04/03/2024,30.8,--,-0.05(-0.16 %),"28,579,500",886.73,"389,576",11.57,31,31.4,30.7
HPG,01/03/2024,30.85,--,-0.15(-0.48 %),"26,958,700",832.09,"480,000",14.71,31.2,31.2,30.65
HPG,29/02/2024,31,--,0.4(1.31 %),"33,580,500","1,034.01",0,0,30.75,31.15,30.5
HPG,28/02/2024,30.6,--,0.25(0.82 %),"35,201,800","1,071.05","1,798,202",53.22,30.4,30.95,30.15
HPG,27/02/2024,30.35,--,1.55(5.38 %),"86,841,500","2,600.63","719,600",20.92,28.9,30.45,28.8
HPG,26/02/2024,28.8,--,0.4(1.41 %),"19,221,700",548.19,"1,155,000",33.46,28.4,28.8,28.3
HPG,23/02/2024,28.4,--,-0.15(-0.53 %),"27,300,800",780.72,"1,238,000",36.84,28.55,28.85,28.4
HPG,22/02/2024,28.55,--,-0.25(-0.87 %),"22,413,300",642.81,"195,001",5.63,28.7,28.8,28.55
HPG,21/02/2024,28.8,--,-0.4(-1.37 %),"31,579,600",912.98,"1,238,000",36.98,29.1,29.15,28.7
HPG,20/02/2024,29.2,--,0(0.00 %),"21,391,700",623.63,"348,000",10.11,29.2,29.35,29.05
HPG,19/02/2024,29.2,--,0.6(2.10 %),"42,276,100","1,223.25","4,535,840",128.95,28.65,29.4,28.45
HPG,16/02/2024,28.6,--,-0.1(-0.35 %),"16,718,800",479.23,"849,000",22.77,28.75,28.8,28.6
HPG,15/02/2024,28.7,--,0.55(1.95 %),"36,985,800","1,060.53","210,000",5.93,28.3,28.9,28.25
HPG,07/02/2024,28.15,--,0.1(0.36 %),"13,808,300",389.24,0,0,28.05,28.3,28.05
HPG,06/02/2024,28.05,--,0.05(0.18 %),"14,660,300",412.11,"655,200",17.64,28.15,28.25,28
HPG,05/02/2024,28,--,0.1(0.36 %),"16,231,200",456.12,"40,001",1.12,27.9,28.3,27.9
HPG,02/02/2024,27.9,--,0.05(0.18 %),"14,162,200",395.9,"930,000",26.65,27.7,28.1,27.7
HPG,01/02/2024,27.85,--,0.1(0.36 %),"10,636,100",296.68,0,0,27.75,28.1,27.7
HPG,31/01/2024,27.75,--,-0.25(-0.89 %),"24,456,900",682.54,"840,000",24.08,27.95,28.1,27.75
HPG,30/01/2024,28,--,0(0.00 %),"17,529,200",490.48,"92,000",2.58,28,28.1,27.85
HPG,29/01/2024,28,--,-0.35(-1.23 %),"21,575,000",606.96,"284,000",8.06,28.35,28.4,28
HPG,26/01/2024,28.35,--,0.1(0.35 %),"14,372,300",407.58,"7,268,000",205.08,28.4,28.5,28.25
HPG,25/01/2024,28.25,--,0(0.00 %),"15,227,000",429.7,"500,000",15.1,28.25,28.4,28
HPG,24/01/2024,28.25,--,-0.1(-0.35 %),"16,136,900",457.59,"282,000",7.99,28.3,28.5,28.25
HPG,23/01/2024,28.35,--,0.05(0.18 %),"21,678,300",613.88,"3,640,000",103.05,28.45,28.5,28.25
HPG,22/01/2024,28.3,--,0.5(1.80 %),"66,067,900","1,869.72","703,400",19.9,28,28.65,27.85
HPG,19/01/2024,27.8,--,0.15(0.54 %),"14,859,900",412.43,"147,000",4.19,27.75,27.9,27.6
HPG,18/01/2024,27.65,--,0(0.00 %),"12,639,000",350.12,"395,000",10.92,27.7,27.85,27.6
HPG,17/01/2024,27.65,--,-0.15(-0.54 %),"23,410,200",650.97,"186,000",5.24,27.85,27.95,27.65
HPG,16/01/2024,27.8,--,0.7(2.58 %),"19,767,200",542.82,"1,000,000",27.16,27.1,27.8,27.05
HPG,15/01/2024,27.1,--,-0.05(-0.18 %),"12,497,100",341.08,"123,050",3.24,27.2,27.45,27.1
HPG,12/01/2024,27.15,--,-0.35(-1.27 %),"28,626,500",779.36,"215,000",5.91,27.35,27.45,27.05
HPG,11/01/2024,27.5,--,0.15(0.55 %),"15,264,900",420.46,"75,000",2.09,27.45,27.65,27.4
HPG,10/01/2024,27.35,--,-0.35(-1.26 %),"32,642,500",896.75,"54,000",1.51,27.7,27.75,27.25
HPG,09/01/2024,27.7,--,-0.15(-0.54 %),"28,623,900",793.62,"1,217,000",33.84,27.9,27.95,27.5
HPG,08/01/2024,27.85,--,0.05(0.18 %),"31,243,900",876.26,"1,670,500",47.09,27.95,28.25,27.85
HPG,05/01/2024,27.8,--,0.05(0.18 %),"17,333,400",480.56,"54,000",1.51,27.75,27.9,27.55
HPG,04/01/2024,27.75,--,-0.05(-0.18 %),"38,538,700","1,075.3","1,054,000",30.05,27.8,28.1,27.7
HPG,03/01/2024,27.8,--,0.35(1.28 %),"18,575,400",512.13,0,0,27.4,27.8,27.4
HPG,02/01/2024,27.45,--,-0.5(-1.79 %),"22,187,200",614.99,0,0,28.1,28.15,27.45
HPG,29/12/2023,27.95,--,0(0.00 %),"20,467,100",571.96,"2,207,910",62.62,27.95,28.1,27.8
HPG,28/12/2023,27.95,--,0.2(0.72 %),"31,308,200",873.75,"720,000",20.06,27.75,28.2,27.65
HPG,27/12/2023,27.75,--,-0.05(-0.18 %),"19,852,100",553.31,"644,800",18.16,27.85,28,27.75
HPG,26/12/2023,27.8,--,0.35(1.28 %),"33,743,700",933.6,"99,200",2.77,27.4,27.9,27.4
HPG,25/12/2023,27.45,--,0.4(1.48 %),"20,407,300",559.5,"1,788,200",48.38,27.15,27.6,27.15
HPG,22/12/2023,27.05,--,-0.15(-0.55 %),"17,429,100",474.08,"97,000",2.65,27.2,27.35,27.05
HPG,21/12/2023,27.2,--,0(0.00 %),"14,307,400",388.11,"895,000",25.17,27.1,27.3,26.95
HPG,20/12/2023,27.2,--,0(0.00 %),"17,661,600",481.03,"326,000",8.84,27.2,27.35,27.1
HPG,19/12/2023,27.2,--,0.6(2.26 %),"20,496,200",549.5,"852,000",22.23,26.6,27.2,26.55
HPG,18/12/2023,26.6,--,-0.2(-0.75 %),"14,875,800",398.38,"582,000",15.94,26.9,27,26.6
HPG,15/12/2023,26.8,--,-0.25(-0.92 %),"34,686,700",934.72,"1,495,000",41.24,27.1,27.2,26.75
HPG,14/12/2023,27.05,--,-0.3(-1.10 %),"31,777,500",867.39,"556,000",14.99,27.55,27.55,27.05
HPG,13/12/2023,27.35,--,-0.6(-2.15 %),"33,347,700",926.45,"210,000",5.6,28.1,28.2,27.3
HPG,12/12/2023,27.95,--,0.45(1.64 %),"31,681,800",886.83,"550,000",15.39,27.5,28.2,27.5
HPG,11/12/2023,27.5,--,-0.2(-0.72 %),"17,845,400",491.17,"145,000",4.29,27.7,27.8,27.3
HPG,08/12/2023,27.7,--,0.1(0.36 %),"52,783,700","1,478.16",0,0,27.8,28.25,27.5
HPG,07/12/2023,27.6,--,0(0.00 %),"49,430,900","1,362.19","845,000",23.13,27.65,27.9,26.95
HPG,06/12/2023,27.6,--,0.35(1.28 %),"18,648,100",510.36,0,0,27.25,27.6,27.2
HPG,05/12/2023,27.25,--,-0.25(-0.91 %),"22,511,100",614.49,"145,000",4.09,27.5,27.55,27.15
HPG,04/12/2023,27.5,--,0.6(2.23 %),"42,341,900","1,161.09","39,900",1.08,27.2,27.75,27.05
HPG,01/12/2023,26.9,--,0.35(1.32 %),"15,400,100",412.75,"2,083,201",56.24,26.8,27.1,26.45
HPG,30/11/2023,26.55,--,-0.45(-1.67 %),"21,208,100",569.68,"173,000",4.71,27.1,27.2,26.55
HPG,29/11/2023,27,--,0.3(1.12 %),"22,503,000",605.19,"600,000",16.13,26.7,27.1,26.65
HPG,28/11/2023,26.7,--,0.4(1.52 %),"18,863,600",497.84,"460,000",12.14,26.4,26.7,26.05
HPG,27/11/2023,26.3,--,-0.1(-0.38 %),"16,724,600",441.86,0,0,26.5,26.75,26.2
HPG,24/11/2023,26.4,--,0.55(2.13 %),"26,228,500",679.73,0,0,26,26.4,25.55
HPG,23/11/2023,25.85,--,-1.35(-4.96 %),"21,684,500",578.45,"120,000",3.24,27.3,27.35,25.85
HPG,22/11/2023,27.2,--,0.15(0.55 %),"17,015,100",460.15,"930,400",25.43,27,27.2,26.9
HPG,21/11/2023,27.05,--,0.4(1.50 %),"26,703,200",725.87,"69,500",1.88,27,27.5,26.95
HPG,20/11/2023,26.65,--,0.15(0.57 %),"18,250,000",482.17,0,0,26.1,26.9,26.1
HPG,17/11/2023,26.5,--,-0.7(-2.57 %),"38,532,000","1,033.73","4,836,900",130.56,27.2,27.4,26.3
HPG,16/11/2023,27.2,--,0.2(0.74 %),"16,261,000",438.21,"70,000",1.89,26.85,27.2,26.8
HPG,15/11/2023,27,--,0(0.00 %),"34,617,300",946.84,"106,200",2.89,27.55,27.8,27
HPG,14/11/2023,27,--,-0.2(-0.74 %),"23,257,200",628.26,"912,800",25.07,27.4,27.5,26.7
