Mã cổ phiếu,Ngày giao dịch,Giá đóng cửa,Giá điều chỉnh,Thay đổi,GDKL_KL,GDKL_GT,GDTT_KL,GDTT_GT,Giá mở cửa,Giá cao nhất,Giá thấp nhất
MBB,07/03/2024,24.4,--,-0.2(-0.81 %),"19,759,000",484.77,"6,257,890",164.36,24.7,24.8,24.35
MBB,06/03/2024,24.6,--,0(0.00 %),"21,911,700",544.82,"200,000",5.26,24.6,25.15,24.5
MBB,05/03/2024,24.6,--,0.4(1.65 %),"22,768,900",553.87,"6,000,001",155.1,24.2,24.65,24.1
MBB,04/03/2024,24.2,--,0.2(0.83 %),"31,949,800",769.75,"5,122,301",131.39,24.1,24.45,23.75
MBB,01/03/2024,24,--,-0.15(-0.62 %),"20,474,600",490.8,"6,446,500",166.32,24.1,24.15,23.8
MBB,29/02/2024,24.15,--,-0.25(-1.02 %),"24,034,500",580.5,"1,099,700",28.7,24.5,24.55,23.95
MBB,28/02/2024,24.4,--,0.15(0.62 %),"19,275,500",468.59,"113,701",2.94,24.35,24.55,24.15
MBB,27/02/2024,24.25,--,0.25(1.04 %),"22,906,700",552.71,"2,547,400",62.41,24.05,24.45,23.85
MBB,26/02/2024,24,--,0.1(0.42 %),"21,383,500",509.79,"3,000,000",76.65,23.9,24.05,23.65
MBB,23/02/2024,23.9,--,-0.05(-0.21 %),"49,051,800","1,192.58","6,344,430",156.35,24,24.7,23.75
MBB,22/02/2024,23.95,--,-0.05(-0.21 %),"14,943,900",357.96,"250,000",6.41,24,24.1,23.85
MBB,21/02/2024,24,--,0.15(0.63 %),"24,984,200",599.69,"1,300,000",32.16,23.85,24.2,23.7
MBB,20/02/2024,23.85,--,-0.1(-0.42 %),"20,313,600",484.19,"2,560,191",65.54,23.85,24.1,23.65
MBB,19/02/2024,23.95,--,-0.05(-0.21 %),"20,952,600",498.95,"174,700",4.48,24,24.1,23.6
MBB,16/02/2024,24,--,-0.15(-0.62 %),"16,165,200",385.97,"270,000",6.31,24.1,24.1,23.7
MBB,15/02/2024,24.15,--,0.65(2.77 %),"24,091,300",576.42,"981,200",24.63,23.7,24.2,23.55
MBB,07/02/2024,23.5,--,0.45(1.95 %),"21,181,800",497.72,"727,500",17.93,23.1,23.7,23.1
MBB,06/02/2024,23.05,--,0.1(0.44 %),"11,519,300",265.36,"250,000",5.72,23,23.15,22.95
MBB,05/02/2024,22.95,--,1.2(5.52 %),"37,093,300",837.86,"341,100",7.93,21.75,23.15,21.75
MBB,02/02/2024,21.75,--,-0.15(-0.68 %),"15,083,600",329.14,"4,168,300",97.54,21.9,22,21.75
MBB,01/02/2024,21.9,--,0.15(0.69 %),"11,396,700",248.39,"2,116,500",49.21,21.7,21.95,21.6
MBB,31/01/2024,21.75,--,-0.35(-1.58 %),"27,845,100",609.2,"25,000",0.59,22.25,22.25,21.65
MBB,30/01/2024,22.1,--,-0.05(-0.23 %),"14,352,700",316.57,"232,400",5.51,22.15,22.25,21.85
MBB,29/01/2024,22.15,--,0.15(0.68 %),"15,667,000",348.56,"20,001",0.41,22,22.45,22
MBB,26/01/2024,22,--,0.1(0.46 %),"9,493,000",209.23,"34,200",0.8,21.9,22.15,21.9
